[2024-09-15 17:20:47,240][websockets.server][INFO] - server listening on 0.0.0.0:8080
[2024-09-15 17:20:48,157][websockets.server][INFO] - connection open
[2024-09-15 17:20:48,686][websockets.server][INFO] - connection closed
[2024-09-15 17:20:49,372][websockets.server][INFO] - connection open
[2024-09-15 17:20:50,275][websockets.server][INFO] - connection open
[2024-09-15 17:20:51,078][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:51,078][websockets.server][INFO] - connection closed
[2024-09-15 17:20:51,162][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:51,166][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:51,166][websockets.server][INFO] - connection closed
[2024-09-15 17:20:51,166][websockets.server][INFO] - connection closed
[2024-09-15 17:20:51,442][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:51,442][websockets.server][INFO] - connection closed
[2024-09-15 17:20:51,492][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:51,492][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:51,493][websockets.server][INFO] - connection closed
[2024-09-15 17:20:51,493][websockets.server][INFO] - connection closed
[2024-09-15 17:20:51,493][websockets.server][INFO] - connection open
[2024-09-15 17:20:52,014][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:52,055][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:52,056][websockets.server][INFO] - connection closed
[2024-09-15 17:20:52,056][websockets.server][INFO] - connection closed
[2024-09-15 17:20:52,057][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:52,057][websockets.server][INFO] - connection closed
[2024-09-15 17:20:52,111][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:52,111][websockets.server][INFO] - connection closed
[2024-09-15 17:20:52,153][websockets.server][INFO] - connection rejected (200 OK)
[2024-09-15 17:20:52,153][websockets.server][INFO] - connection closed
